a|bitta
abandon|tark etmoq
ability|qobiliyat
able|qodir
abortion|abort
about|haqida
above|yuqorida
abroad|chet elda
absence|yo’qligi
absolute|mutlaq
absolutely|mutlaqo
absorb|singdirish
abuse|suiiste’mol qilish
academic|akademik
accept|qabul qilish
access|kirish
accident|baxtsiz hodisa
accompany|hamrohlik qilish
accomplish|bajarish
according|ko’ra
account|hisob
accurate|aniq
accuse|ayblash
achieve|erishish
achievement|muvaffaqiyat
acid|kislota
acknowledge|tan olmoq
acquire|egallash
across|bo’ylab
act|harakat
action|harakat
active|faol
activist|faol
activity|faoliyat
actor|aktyor
actress|aktrisa
actual|haqiqiy
actually|aslida
ad|e’lon
adapt|moslashish
add|qo’shish
addition|qo’shimcha
additional|qo’shimcha
address|manzil
adequate|adekvat
adjust|sozlash
adjustment|moslashish
administration|boshqaruv
administrator|administrator
admire|qoyil qolish
admission|qabul qilish
admit|tan olish
adolescent|o’smir
adopt|qabul qilish
adult|kattalar
advance|avans
advanced|rivojlangan
advantage|afzallik
adventure|sarguzasht
advertising|reklama
advice|maslahat
advise|maslahat bering
adviser|maslahatchi
advocate|himoyachi
affair|ish
affect|ta’sir qilish
afford|imkoniyatiga ega
afraid|qo’rqib
African|afrikalik
African-American|afro-amerikalik
after|keyin
afternoon|tushdan keyin
again|yana
against|qarshi
age|yoshi
agency|agentlik
agenda|kun tartibi
agent|agent
aggressive|tajovuzkor
ago|oldin
agree|rozi
agreement|kelishuv
agricultural|qishloq xo’jaligi
ahead|oldinda
aid|yordam
aide|yordamchi
AIDS|OITS
aim|maqsad
air|havo
aircraft|samolyot
airline|aviakompaniya
airport|aeroport
album|albom
alcohol|spirtli ichimliklar
alive|tirik
all|hammasi
alliance|ittifoq
allow|ruxsat berish
ally|ittifoqdosh
almost|deyarli
alone|yolg’iz
along|birga
already|allaqachon
also|shuningdek
alter|o’zgartirish
alternative|muqobil
although|garchi
always|har doim
am|am
amazing|ajoyib
American|amerikalik
among|orasida
amount|miqdori
an|a
analysis|tahlil
analyst|tahlilchi
analyze|tahlil qilish
ancient|qadimiy
and|va
anger|g’azab
angle|burchak
angry|badjahl
animal|hayvon
anniversary|yubiley
announce|e’lon qilish
annual|yillik
another|boshqa
answer|javob
anticipate|bashorat qilish
anxiety|tashvish
any|har qanday
anybody|hech kim
anymore|endi
anyone|har kim
anything|har qanday narsa
anyway|nima bo’lganda ham
anywhere|har qanday joyda
apart|alohida
apartment|kvartira
apparent|aniq
apparently|aftidan
appeal|Shikoyat qilish
appear|paydo bo’ladi
appearance|ko’rinish
apple|olma
application|ilova
apply|murojaat qiling
appoint|tayinlash
appointment|tayinlash
appreciate|qadrlash
approach|yondashuv
appropriate|muvofiq
approval|tasdiqlash
approve|ma’qullash
approximately|taxminan
Arab|arab
architect|arxitektor
are|bor
area|hudud
argue|bahslashmoq
argument|dalil
arise|paydo bo’ladi
arm|qo’l
armed|qurollangan
army|armiya
around|atrofida
arrange|tartibga solish
arrangement|tartibga solish
arrest|hibsga olish
arrival|kelishi
arrive|yetib kelish
art|san’at
article|maqola
artist|rassom
artistic|badiiy
as|kabi
Asian|osiyolik
aside|chetga
ask|so’rang
asleep|uyquda
aspect|jihati
assault|hujum
assert|da’vo qilish
assess|baho bering
assessment|baholash
asset|aktiv
assign|tayinlash
assignment|topshiriq
assist|yordam berish
assistance|yordam
assistant|yordamchi
associate|sherik
association|uyushma
assume|faraz qilmoq
assumption|faraz
assure|ishontirmoq
at|da
athlete|sportchi
athletic|atletik
atmosphere|atmosfera
atom|atom
attach|biriktir
attack|hujum
attempt|urinish
attend|qatnashmoq
attention|diqqat
attitude|munosabat
attorney|advokat
attract|jalb qilish
attractive|jozibali
attribute|xususiyat
audience|tomoshabinlar
author|muallif
authority|hokimiyat
auto|avto
available|mavjud
average|o’rtacha
avoid|qochish
award|mukofoti
aware|xabardor
awareness|xabardorlik
away|uzoqda
awful|dahshatli
baby|chaqaloq
back|orqaga
background|fon
bad|yomon
badly|yomon
bag|sumka
bake|pishirmoq
balance|muvozanat
ball|to’p
ban|taqiqlash
band|band
bank|bank
bar|bar
barely|zo’rg’a
barrel|bochka
barrier|to’siq
base|asos
baseball|beysbol
basic|Asosiy
basically|asosan
basis|asos
basket|savat
basketball|basketbol
bat|yarasa
bathroom|hammom
battery|batareya
battle|jang
be|bo’l
beach|plyaj
bean|loviya
bear|ayiq
beat|urish
beautiful|go’zal
beauty|go’zallik
because|chunki
become|bo’lish
bed|yotoq
bedroom|yotoqxona
been|bo’lgan
beer|pivo
before|oldin
began|boshlangan
begin|boshlash
beginning|boshlanishi
behavior|xulq-atvor
behind|orqasida
being|bo’lish
belief|e’tiqod
believe|ishon
bell|qo’ng’iroq
belong|tegishli
below|quyida
belt|kamar
bench|skameyka
bend|egilish
beneath|ostida
benefit|foyda
beside|yonida
besides|bundan tashqari
best|eng yaxshi
bet|tikish
better|yaxshiroq
between|orasida
beyond|tashqari
Bible|Injil
big|katta
bike|velosiped
bill|hisob
billion|milliard
bind|bog’lamoq
biological|biologik
bird|qush
birth|tug’ilish
birthday|tug’ilgan kun
bit|bit
bite|tishlash
black|qora
blade|pichoq
blame|ayblash
blanket|adyol
blind|ko’r
block|blok
blood|qon
blow|puflamoq
blue|ko’k
board|taxta
boat|qayiq
body|tanasi
bomb|bomba
bombing|bombardimon qilish
bond|rishta
bone|suyak
book|kitob
boom|bum
boot|yuklash
border|chegara
born|tug’ilgan
borrow|qarz olish
boss|xo’jayin
both|ikkalasi ham
bother|bezovta qilmoq
bottle|shisha
bottom|pastki
bought|sotib oldi
boundary|chegara
bowl|kosa
box|quti
boy|yigit
boyfriend|yigit
brain|miya
branch|filiali
brand|brend
bread|non
break|tanaffus
breakfast|nonushta
breast|ko’krak
breath|nafas
breathe|nafas ol
brick|g’isht
bridge|ko’prik
brief|qisqacha
briefly|qisqacha
bright|yorqin
brilliant|ajoyib
bring|olib keling
British|Britaniya
broad|keng
broke|buzildi
broken|buzilgan
brother|uka
brought|olib keldi
brown|jigarrang
brush|cho’tka
buck|pul
budget|byudjet
build|qurmoq
building|bino
bullet|o’q
bunch|to’da
burden|yuk
burn|kuyish
bury|dafn qilmoq
bus|avtobus
business|biznes
busy|band
but|lekin
butter|sariyog’
button|tugmasi
buy|sotib olish
buyer|xaridor
by|tomonidan
cabin|kabina
cabinet|kabinet
cable|kabel
cake|tort
calculate|hisoblash
call|qo’ng’iroq qiling
came|keldi
camera|kamera
camp|lager
campaign|kampaniya
campus|kampus
can|mumkin
Canadian|kanadalik
cancer|saraton
candidate|nomzod
cap|qopqoq
capability|qobiliyat
capable|qodir
capacity|sig’im
capital|poytaxt
captain|kapitan
capture|qo’lga olish
car|mashina
carbon|uglerod
card|karta
care|g’amxo’rlik
career|martaba
careful|ehtiyotkor
carefully|ehtiyotkorlik bilan
carrier|tashuvchi
carry|olib yurish
case|hol
cash|naqd pul
cast|quyma
cat|mushuk
catch|tutmoq
category|kategoriya
Catholic|katolik
caught|ushlandi
cause|sabab
ceiling|shift
celebrate|nishonlash
celebration|bayram
celebrity|mashhur
cell|hujayra
cent|sent
center|markaz
central|markaziy
century|asr
CEO|Bosh ijrochi direktor
ceremony|marosim
certain|aniq
certainly|albatta
chain|zanjir
chair|stul
chairman|rais
challenge|qiyinchilik
chamber|kamera
champion|chempion
championship|chempionat
chance|imkoniyat
change|o’zgartirish
changing|o’zgaruvchan
channel|kanal
chapter|bob
character|xarakter
characteristic|xarakterli
characterize|xarakterlash
charge|zaryad
charity|xayriya
chart|diagramma
chase|ketidan quvmoq
cheap|arzon
check|tekshirish
cheek|yonoq
cheese|pishloq
chef|oshpaz
chemical|kimyoviy
chest|ko’krak qafasi
chick|jo’ja
chicken|tovuq
chief|boshliq
child|bola
childhood|bolalik
children|bolalar
Chinese|Xitoy
chip|chip
chocolate|shokolad
choice|tanlash
cholesterol|xolesterin
choose|tanlang
chord|akkord
Christian|xristian
Christmas|Rojdestvo
church|cherkov
cigarette|sigaret
circle|doira
circumstance|vaziyat
cite|iqtibos keltiring
citizen|fuqaro
city|shahar
civil|fuqarolik
civilian|fuqarolik
claim|Talab
class|sinf
classic|klassik
classroom|sinf xonasi
clean|toza
clear|aniq
clearly|aniq
client|mijoz
climate|iqlim
climb|ko’tarilish
clinic|klinika
clinical|klinik
clock|soat
close|yaqin
closely|yaqindan
closer|yaqinroq
clothe|kiyinmoq
clothes|kiyimlar
clothing|kiyim
cloud|bulut
club|klub
clue|maslahat
cluster|klaster
coach|murabbiy
coal|ko’mir
coalition|koalitsiya
coast|qirg’oq
coat|palto
code|kod
coffee|qahva
cognitive|kognitiv
cold|sovuq
collapse|qulash
colleague|hamkasb
collect|yig’ish
collection|yig’ish
collective|kollektiv
college|kollej
colonial|mustamlakachi
colony|koloniya
color|rang
column|ustun
combination|kombinatsiya
combine|aralashtirmoq
come|kelib
comedy|komediya
comfort|qulaylik
comfortable|qulay
command|buyruq
commander|qo’mondon
comment|izoh
commercial|tijorat
commission|komissiya
commit|topshirmoq
commitment|majburiyat
committee|qo’mita
common|umumiy
communicate|muloqot qilish
communication|aloqa
community|jamiyat
company|kompaniya
compare|solishtiring
comparison|solishtirish
compete|raqobat qilish
competition|musobaqa
competitive|raqobatbardosh
competitor|raqobatchi
complain|shikoyat qilish
complaint|shikoyat
complete|to’liq
completely|batamom
complex|murakkab
complicated|murakkab
component|komponent
